channel,t_exponent,p_exponent,t_offset,p_offset,n_subjects,subjects_included
CP1,-0.09137465278170956,0.9275330246808036,0.15753534632207494,0.8754105439931124,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
CP2,0.8636257314339278,0.3916133683583425,0.008025845976105327,0.9936259476512858,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
CP3,0.31514192959255116,0.7538685122433606,0.08731373411249405,0.9307451185063537,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
CP4,0.10831357895613829,0.9141559742047081,-0.18054787444026796,0.8574110880639717,54,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
CP5,0.44372961554797774,0.659011042230054,1.8530411681656653,0.06934383376653516,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
CP6,1.331338879183285,0.18867084882539634,1.7170443460945715,0.09170219586708576,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
CPz,-1.2668595474920659,0.21085045020602045,-1.5934321806034344,0.11712433719306513,53,"sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
Cz,-0.23953421608816794,0.8115982528412118,-0.6351683036407318,0.5280010411579693,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
F1,0.9208878112098675,0.3612048935414448,1.7490320204168952,0.08596762370233056,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
F2,1.133617089547858,0.261963028071635,2.6411101051401715,0.010784543991487438,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
