subject,session,condition,channel,aperiodic_exponent,aperiodic_offset,n_peaks
sub-07,ses-2,SD,T7,1.065199405816703,-11.912667982265907,3
sub-07,ses-2,SD,CP1,1.0950509406413815,-11.748152741399217,2
sub-07,ses-2,SD,CP3,1.1002521138667274,-11.690135186130853,3
sub-07,ses-2,SD,CP5,0.6827457422734087,-11.67650768085675,4
sub-07,ses-2,SD,TP7,0.3761945426487393,-11.414671042114241,1
sub-07,ses-2,SD,TP9,0.8753988697169492,-11.042904007446687,3
sub-07,ses-2,SD,Pz,1.2059547341743133,-11.299472925786889,2
sub-07,ses-2,SD,P1,1.1637298874645965,-11.158234010166284,2
sub-07,ses-2,SD,P3,1.064080710523759,-11.143380782508096,3
sub-07,ses-2,SD,P5,0.39722601090792314,-11.245086463905274,2
sub-07,ses-2,SD,P7,1.2799301112495345,-10.955728519072945,3
sub-07,ses-2,SD,PO3,1.1780177057844654,-10.967787832738505,3
sub-07,ses-2,SD,PO7,1.1865017790890902,-10.937191076115266,3
sub-07,ses-2,SD,Oz,1.1851659436150854,-10.938206802157973,3
sub-07,ses-2,SD,Fpz,0.25530135333981496,-11.292223544338642,1
sub-07,ses-2,SD,Fp2,0.6290071442099205,-11.257329516117311,1
sub-07,ses-2,SD,AF4,0.8837836564242546,-11.341273392759877,3
sub-07,ses-2,SD,AF8,1.07953956881867,-11.373742460953089,3
sub-07,ses-2,SD,F2,0.9746722534068349,-11.387662478197516,3
sub-07,ses-2,SD,F4,0.7681619007705757,-11.344354253273673,3
sub-07,ses-2,SD,F6,0.45850129373514886,-11.305750864719222,1
sub-07,ses-2,SD,F8,0.7600126072768164,-11.083068256731421,1
sub-07,ses-2,SD,FC2,1.0033920290791378,-11.648473417485429,2
sub-07,ses-2,SD,FC4,0.9379953324008565,-11.457727036859524,3
sub-07,ses-2,SD,FC6,0.6499739148236741,-11.307560657255621,2
sub-07,ses-2,SD,FT8,0.49175078022656643,-11.247987943988807,1
sub-07,ses-2,SD,C2,0.8926171476897566,-12.363993773662866,3
sub-07,ses-2,SD,C4,0.9718849704167725,-11.82839793517639,2
sub-07,ses-2,SD,C6,0.9848375480144311,-11.435667480975514,3
sub-07,ses-2,SD,T8,0.4370714768910861,-11.399160950752817,1
sub-07,ses-2,SD,CP2,1.2160208885557444,-11.392159909438849,2
sub-07,ses-2,SD,CP4,1.0683920440107288,-11.342431069030567,3
sub-07,ses-2,SD,CP6,0.7415491114424324,-11.24961890495222,3
sub-07,ses-2,SD,TP8,0.9912842917339987,-11.162971332964062,3
sub-07,ses-2,SD,TP10,1.143062749733096,-10.853636008494787,3
sub-07,ses-2,SD,P2,1.249279847150855,-11.215725680928879,2
sub-07,ses-2,SD,P4,1.1953211005180575,-11.153178710984303,2
sub-07,ses-2,SD,P6,1.2331193805750063,-10.904339606339919,3
sub-07,ses-2,SD,P8,0.9295370382455508,-10.959890088271337,3
sub-07,ses-2,SD,POz,0.9130826337028408,-10.96461434301209,3
sub-07,ses-2,SD,PO4,1.266243524956774,-10.824727923188217,3
sub-07,ses-2,SD,PO8,1.2407379716423124,-10.811773865759331,3
sub-07,ses-2,SD,O2,1.2585758399738254,-10.949425550883332,3
sub-08,ses-1,SD,Fp1,0.5927382590316425,-11.572499407220695,2
sub-08,ses-1,SD,AF3,0.8465444288008281,-11.712783256088738,2
sub-08,ses-1,SD,Fz,1.1107560632835043,-11.607730669266612,2
sub-08,ses-1,SD,F1,1.0366313070150708,-11.69916032454527,3
sub-08,ses-1,SD,F3,0.8476192535891832,-11.631303193605246,4
sub-08,ses-1,SD,F5,0.2438415528991443,-11.844356595178548,3
sub-08,ses-1,SD,F7,0.6790083841770344,-11.11551242900812,1
sub-08,ses-1,SD,FC3,0.7451952461254637,-11.910617992775245,1
sub-08,ses-1,SD,FC5,0.8281201021634208,-11.434965381006668,0
sub-08,ses-1,SD,FT7,0.5086045709095204,-11.336670785733219,0
sub-08,ses-1,SD,Cz,0.8014039914631772,-40.468084883069785,3
sub-08,ses-1,SD,C1,0.9799996609466529,-12.26789255173466,2
