subject,channel,aperiodic_exponent_NS,aperiodic_offset_NS,aperiodic_exponent_SD,aperiodic_offset_SD,ap_delta_NS,ap_delta_SD,diff_ap_delta,ap_theta_NS,ap_theta_SD,diff_ap_theta,ap_alpha_NS,ap_alpha_SD,diff_ap_alpha,ap_beta_NS,ap_beta_SD,diff_ap_beta,ap_gamma_NS,ap_gamma_SD,diff_ap_gamma,diff_exponent,diff_offset
sub-07,PO3,1.0885277400301734,-11.246945213311951,1.1780177057844654,-10.967787832738503,-11.680113951619312,-11.436568208794187,0.2435457428251251,-12.093984435293713,-11.884463783468757,0.20952065182495616,-12.335472953342125,-12.14580553852297,0.18966741481915506,-12.663152454203532,-12.50042420338736,0.1627282508161727,-12.927706112081367,-12.786727327919122,0.14097878416224496,0.08948996575429202,0.27915738057344797
sub-07,PO7,1.3443131767193408,-10.920021147795234,1.1865017790890902,-10.937191076115266,-11.454977144996864,-11.409347604375366,0.04562954062149771,-11.966100127166598,-11.860468919095858,0.10563120807074,-12.264334324514575,-12.123692855204355,0.1406414693102196,-12.66901291427343,-12.480865480618851,0.18814743365457964,-12.995732165566572,-12.769230557771479,0.2265016077950932,-0.15781139763025065,-0.017169928320031502
sub-07,Oz,1.0741524316976576,-11.151478829755115,1.1851659436150854,-10.938206802157971,-11.578927057739971,-11.409831748037963,0.16909530970200848,-11.987331887583279,-11.86044516309416,0.1268867244891183,-12.225631261452772,-12.123372745773057,0.10225851567971489,-12.548983363309173,-12.480143244640605,0.0688401186685681,-12.810043274300611,-12.768183662946265,0.04185961135434546,0.11101351191742781,0.21327202759714403
sub-07,Fpz,1.2774742186697248,-11.12475551442106,0.2553013533398149,-11.292223544338642,-11.633113616076795,-11.39381816710067,0.2392954489761241,-12.118823675011775,-11.490886611664655,0.6279370633471206,-12.402229733090785,-11.547524897678457,0.8547048354123277,-12.786787791597781,-11.62437826296735,1.1624095286304321,-13.097262632950319,-11.686426205710028,1.410836427240291,-1.0221728653299098,-0.1674680299175808
sub-07,Fp2,1.334554482350102,-10.95136501820548,0.6290071442099205,-11.257329516117313,-11.482437640485188,-11.507636624538982,-0.025198984053794504,-11.989850257351309,-11.746792211884507,0.24305804546680143,-12.285919500555583,-11.886336660327233,0.39958284022834967,-12.68766043059078,-12.07568667822136,0.6119737523694209,-13.012007947846698,-12.228559347159877,0.7834486006868211,-0.7055473381401816,-0.3059644979118321
sub-07,AF4,1.285005563030868,-11.138248479004735,0.8837836564242546,-11.341273392759875,-11.649603603900855,-11.692966268661548,-0.04336266476069284,-12.138177164627143,-12.028990750075037,0.10918641455210576,-12.423254042035603,-12.22505704918413,0.1981969928514733,-12.810079261102977,-12.49110243944542,0.31897682165755725,-13.122384505693033,-12.70589549476361,0.41648901092942303,-0.4012219066066135,-0.2030249137551401
sub-07,AF8,1.5640915207647994,-10.628203826944963,1.07953956881867,-11.373742460953087,-11.250618420281969,-11.803334446330597,-0.5527160260486284,-11.845303599542547,-12.213787526267955,-0.36848392672540875,-12.192295347709763,-12.453282029771756,-0.2609866820619935,-12.66313381142366,-12.778255821492337,-0.11512201006867784,-13.043267562597116,-13.04062501177767,0.0026425508194449776,-0.48455195194612943,-0.745538634008124
sub-07,F2,1.2964745161401083,-11.42390903436442,0.9746722534068348,-11.387662478197516,-11.93982811456029,-11.775523563170626,0.16430455138966416,-12.432762300189376,-12.146104910900288,0.286657389289088,-12.720383550504529,-12.362334731604351,0.35804881890017803,-13.110661268476647,-12.655740315821213,0.454920952655435,-13.425753905050847,-12.892622758397884,0.5331311466529627,-0.3218022627332735,0.03624655616690475
sub-07,F4,1.3036483950389814,-11.239367984828853,0.7681619007705757,-11.344354253273671,-11.758141838455954,-11.650036606727843,0.1081052317281106,-12.253803613489067,-11.942100396855372,0.3117032166336955,-12.543016379867835,-12.112516154044247,0.4305002258235877,-12.935453650573775,-12.34375592770245,0.5916977228713254,-13.252289812677068,-12.530448497140885,0.7218413155361834,-0.5354864942684058,-0.10498626844481862
sub-07,F6,1.3878687891479788,-11.01881471673447,0.4585012937351488,-11.305750864719222,-11.571103234723667,-11.488206873524328,0.08289636119933874,-12.098786550378403,-11.662534219741747,0.43625233063665547,-12.406683505882448,-11.76425215845437,0.6424313474280776,-12.82447364146184,-11.902274800919393,0.9221988405424462,-13.161778563808975,-12.013708060668925,1.1480705031400493,-0.92936749541283,-0.2869361479847523
sub-07,F8,1.4991880032141216,-10.778374635711854,0.7600126072768164,-11.08306825673142,-11.374961522711896,-11.385507680262013,-0.010546157550116675,-11.94496965497308,-11.674473017391207,0.27049663758187314,-12.277562638925975,-11.843080864008236,0.43448177491773876,-12.728863197033016,-12.071867455881346,0.65699574115167,-13.093222923948078,-12.256579436930886,0.8366434870171915,-0.7391753959373052,-0.304693621019565
