subject,session,condition,channel,aperiodic_exponent,aperiodic_offset,n_peaks
sub-06,ses-1,NS,O1,0.7532809687477472,-10.81595945859871,2
sub-06,ses-1,NS,Fpz,0.9650106170758421,-11.160639733334007,3
sub-06,ses-1,NS,Fp2,0.7587022477900274,-11.164467192566319,3
sub-06,ses-1,NS,AF4,0.9149099080901815,-11.216136356720947,3
sub-06,ses-1,NS,AF8,0.7839769078054907,-11.100676232433607,3
sub-06,ses-1,NS,F2,1.1289938595235136,-11.395912143216572,3
sub-06,ses-1,NS,F4,1.0104835753371786,-11.282878868712878,3
sub-06,ses-1,NS,F6,1.0094267118014932,-11.281401162647299,3
sub-06,ses-1,NS,F8,0.9313301614811781,-11.037118974718066,1
sub-06,ses-1,NS,FC2,0.9982550254817053,-11.847873310677128,3
sub-06,ses-1,NS,FC4,0.9963252014202106,-11.5557456577475,3
sub-06,ses-1,NS,FC6,1.1267892595195659,-11.007448154787209,2
sub-06,ses-1,NS,FT8,0.8321260649471508,-11.139238622963301,3
sub-06,ses-1,NS,C2,0.9773550557781668,-11.961036158165518,2
sub-06,ses-1,NS,C4,0.9616349783487633,-11.522120168595567,2
sub-06,ses-1,NS,T8,0.8668373949373718,-11.018749512926457,4
sub-06,ses-1,NS,CPz,1.0488748965903492,-11.775161234770426,2
sub-06,ses-1,NS,CP2,0.9293994145891834,-11.595630740030094,3
sub-06,ses-1,NS,CP4,0.9364997313057404,-11.207119489389267,2
sub-06,ses-1,NS,CP6,0.9064849632024651,-10.995629695931612,2
sub-06,ses-1,NS,TP8,0.7742295648512727,-11.05896775229868,4
sub-06,ses-1,NS,P2,0.8624558836013839,-10.830965738613767,2
sub-06,ses-1,NS,P4,0.8618899237994438,-10.819974482517166,2
sub-06,ses-1,NS,P8,0.8578693381872927,-10.691299236372299,2
sub-06,ses-1,NS,POz,0.7808162434202416,-10.94455191401588,2
sub-06,ses-1,NS,PO4,0.6900983035112505,-10.818068130908639,2
sub-07,ses-1,NS,Fp1,1.3128347418485338,-11.089308064860798,2
sub-07,ses-1,NS,AF3,1.3151230493698898,-11.121975728985937,2
sub-07,ses-1,NS,AF7,1.3253565837652883,-10.914343134008668,4
sub-07,ses-1,NS,Fz,1.271582724104587,-11.42488620249411,2
sub-07,ses-1,NS,F1,1.2218324648578087,-11.438731592496044,2
sub-07,ses-1,NS,F3,0.9898845326359418,-11.379421860024799,3
sub-07,ses-1,NS,F5,1.0485952976314397,-11.234362755025336,2
sub-07,ses-1,NS,F7,1.2082365889228053,-11.00035801150974,2
sub-07,ses-1,NS,FC3,1.2234082598077378,-11.541925586026336,3
sub-07,ses-1,NS,FC5,1.1936604168658165,-11.278629060896286,1
sub-07,ses-1,NS,FT7,1.22060835473929,-10.944188717356269,2
sub-07,ses-1,NS,Cz,1.304169235283628,-39.03400269199919,4
