subject,channel,aperiodic_exponent_NS,aperiodic_exponent_SD,diff_exponent,aperiodic_offset_NS,aperiodic_offset_SD,diff_offset
sub-07,Fp1,1.3128347418485338,0.84483439582886,-0.4680003460196738,-11.089308064860798,-11.182609052806065,-0.0933009879452662
sub-07,AF3,1.3151230493698898,0.6016889390197487,-0.713434110350141,-11.121975728985936,-11.092157782313617,0.02981794667231874
sub-07,AF7,1.3253565837652883,0.8932587759176325,-0.43209780784765583,-10.914343134008668,-11.255207321053836,-0.3408641870451685
sub-07,Fz,1.271582724104587,0.6642659844429754,-0.6073167396616116,-11.42488620249411,-11.056592613403284,0.36829358909082544
sub-07,F1,1.2218324648578087,1.081869801618779,-0.13996266323902962,-11.438731592496044,-11.429697321286362,0.009034271209682032
sub-07,F3,0.9898845326359418,1.0048689460413511,0.014984413405409347,-11.3794218600248,-11.440291981434516,-0.060870121409715594
sub-07,F5,1.0485952976314397,0.7555172268774605,-0.2930780707539792,-11.234362755025336,-11.35018858811969,-0.11582583309435357
sub-07,F7,1.2082365889228053,0.2107266433788566,-0.9975099455439487,-11.00035801150974,-11.390265432289713,-0.38990742077997353
sub-07,FC3,1.2234082598077378,0.7193334525048602,-0.5040748073028776,-11.541925586026336,-11.775527535442876,-0.23360194941654022
sub-07,FC5,1.1936604168658165,0.7094237142364592,-0.48423670262935725,-11.278629060896286,-11.566201178233944,-0.28757211733765864
sub-07,FT7,1.22060835473929,0.173742646120896,-1.0468657086183941,-10.944188717356267,-11.610988587164933,-0.6667998698086652
sub-07,Cz,1.304169235283628,1.0026502991032171,-0.3015189361804109,-39.03400269199919,-39.40131434929354,-0.36731165729435133
sub-07,C1,1.1230660135226576,1.025333250617402,-0.09773276290525557,-12.201217059750558,-11.9082050748487,0.29301198490185776
sub-07,C3,1.2122010322890449,0.2872475474713887,-0.9249534848176562,-11.619587081788485,-11.80955316508908,-0.18996608330059495
sub-07,CP1,1.2195802022608306,1.0950509406413815,-0.1245292616194491,-11.754982281241718,-11.748152741399217,0.00682953984250112
sub-07,CP3,1.192485466239455,1.1002521138667274,-0.09223335237272767,-11.591817947606264,-11.690135186130853,-0.09831723852458829
sub-07,CP5,1.237716289840165,0.6827457422734087,-0.5549705475667563,-11.34351625371417,-11.67650768085675,-0.3329914271425789
sub-07,TP7,1.127803059051538,0.3761945426487393,-0.7516085164027987,-11.014133841667586,-11.41467104211424,-0.400537200446653
sub-07,TP9,1.1208113919970009,0.8753988697169492,-0.24541252228005161,-11.014672217872624,-11.042904007446689,-0.028231789574064692
sub-07,Pz,1.3044632079023657,1.205954734174313,-0.0985084737280526,-11.372590054734262,-11.299472925786889,0.07311712894737354
sub-07,P1,1.206668258103217,1.1637298874645965,-0.042938370638620604,-11.446473784394517,-11.158234010166284,0.28823977422823255
sub-07,P3,1.1402613583122692,1.064080710523759,-0.07618064778851008,-11.344852291077911,-11.143380782508096,0.20147150856981533
sub-07,P5,1.154846347681689,0.3972260109079231,-0.757620336773766,-11.261347118246304,-11.245086463905274,0.01626065434103019
sub-07,P7,1.2323401195746015,1.2799301112495345,0.04758999167493294,-11.08374316905123,-10.955728519072943,0.1280146499782866
sub-07,PO3,1.0885277400301734,1.1780177057844654,0.08948996575429202,-11.246945213311951,-10.967787832738503,0.27915738057344797
sub-07,PO7,1.3443131767193408,1.1865017790890902,-0.15781139763025065,-10.920021147795234,-10.937191076115266,-0.017169928320031502
sub-07,Oz,1.0741524316976576,1.1851659436150854,0.11101351191742781,-11.151478829755115,-10.938206802157971,0.21327202759714403
sub-07,Fpz,1.2774742186697248,0.2553013533398149,-1.0221728653299098,-11.12475551442106,-11.292223544338642,-0.1674680299175808
sub-07,Fp2,1.334554482350102,0.6290071442099205,-0.7055473381401816,-10.95136501820548,-11.257329516117313,-0.3059644979118321
sub-07,AF4,1.285005563030868,0.8837836564242546,-0.4012219066066135,-11.138248479004735,-11.341273392759875,-0.2030249137551401
sub-07,AF8,1.5640915207647994,1.07953956881867,-0.48455195194612943,-10.628203826944963,-11.373742460953087,-0.745538634008124
sub-07,F2,1.2964745161401083,0.9746722534068348,-0.3218022627332735,-11.42390903436442,-11.387662478197516,0.03624655616690475
sub-07,F4,1.3036483950389814,0.7681619007705757,-0.5354864942684058,-11.239367984828853,-11.344354253273671,-0.10498626844481862
sub-07,F6,1.3878687891479788,0.4585012937351488,-0.92936749541283,-11.01881471673447,-11.305750864719222,-0.2869361479847523
sub-07,F8,1.4991880032141216,0.7600126072768164,-0.7391753959373052,-10.778374635711854,-11.08306825673142,-0.304693621019565
sub-07,FC4,1.2469246110016157,0.9379953324008564,-0.30892927860075925,-11.51171640070587,-11.457727036859524,0.05398936384634645
sub-07,FC6,1.1750874149575012,0.6499739148236741,-0.5251135001338272,-11.2877540346529,-11.30756065725562,-0.019806622602718704
sub-07,FT8,1.4153409394465286,0.4917507802265664,-0.9235901592199622,-11.10346924602275,-11.247987943988807,-0.14451869796605799
sub-07,C2,1.119351835854658,0.8926171476897566,-0.22673468816490128,-12.007337127658728,-12.363993773662866,-0.35665664600413827
sub-07,C4,1.283222484740358,0.9718849704167724,-0.3113375143235856,-11.410406222470543,-11.82839793517639,-0.417991712705847
sub-07,C6,1.0781412222380735,0.9848375480144312,-0.09330367422364227,-11.40975316048263,-11.435667480975514,-0.025914320492884002
sub-07,T8,1.2571275281631504,0.4370714768910861,-0.8200560512720643,-11.099322350781216,-11.399160950752815,-0.2998385999715989
